Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
4,19;21135,8;21652;650
4,2;21098,3;21698,9;650
4,21;21092,4;21702,5;650
4,22;21086,4;21720,8;650
4,23;21068,3;21792,9;650
4,24;21051,5;21838,7;650
4,25;21035,7;21845,6;650
4,26;21019,2;21821,3;650
4,27;21003,8;21898,6;650
4,28;20982,9;21933,1;650
4,29;20958,6;21960,3;650
4,3;20943;21990,4;650
4,31;20935,9;22010,5;650
4,32;20941,5;22001,6;650
4,33;20893,1;22006,1;650
4,34;20880,2;21982,9;650
4,35;20870,6;22099,8;650
4,36;20851,9;22085;650
4,37;20851,2;21996,4;650
4,38;20823,4;22064,1;650
4,39;20813,8;22068,3;650
4,4;20796;21956,6;650
4,41;20804,6;22032,6;650
4,42;20760,9;22063,3;650
4,43;20754,3;22035,8;650
4,44;20756,9;21910,2;650
4,45;20742,1;21774,5;650
4,46;20713,3;22019,7;650
4,47;20687,6;21957,4;650
4,48;20686,9;21764,4;650
4,49;20716;21708,8;650
4,5;20698,4;21759,8;650
4,51;20608,2;21891,4;650
4,52;20581,1;21995,8;650
4,53;20644,3;21779,7;650
4,54;20729,6;21461;650
4,55;20758,3;21162,8;650
4,56;20509,3;21979,8;650
4,57;20463,7;22355,7;650
4,58;20621,8;21665,9;650
4,59;20729,5;21104,6;650
4,6;20663;21356,6;650
4,61;20518;21995,5;650
4,62;20466,5;21997,1;650
4,63;20534,4;21640,6;650
4,64;20651,6;21389,8;650
4,65;20647,8;21468,8;650
4,66;20547,1;21613,5;650
4,67;20468;22015,1;650
4,68;20505,7;21901,5;650
4,69;20610,9;21380,2;650
4,7;20645,7;21399,4;650
4,71;20520,9;21874,7;650
4,72;20393,3;22201,3;650
4,73;20543,3;21786,6;650
4,74;20660,2;21412,5;650
4,75;20593,2;21437,5;650
4,76;20472,5;22153,4;650
4,77;20428,3;22423,9;650
4,78;20576,2;21683,7;650
4,79;20666,4;21369,9;650
4,8;20562,7;21899,8;650
4,81;20453,3;22369,5;650
4,82;20475;22276,8;650
4,83;20603;21828,9;650
4,84;20644,8;21639,7;650
